"Metabolite","1-Mock","2-Mock","3-Mock","1-Infection","2-Infection","3-Infection","4-Infection","5-Infection","6-Infection","7-Infection","8-Infection","9-Infection"
"Unknown 17",6658313.311,8216090.315,8116241.378,1506051.974,1448507.746,1375612.665,1092846.804,276775.4488,1548257.835,201236.7695,93955.75983,314767.472
"Unknown 18",1138578.376,4898022.999,5032039.943,355003.4247,3313834.687,3845396.112,3462870.049,2389529.365,3652946.916,1824133.387,1496916.222,2357234.173
"Unknown 19",973352.9564,1159302.25,1350783.874,553498.4304,549462.0268,673186.4592,508967.0113,285647.0552,545534.2059,233695.0643,168660.0573,311386.0809
"Unknown 20",2309042.476,1210956.117,664835.9969,944514.9244,515320.7063,442828.3829,467837.5061,245307.6507,587492.4845,433799.5749,288302.895,373356.7389
"Unknown 21",1020575.011,1354243.722,1481362.796,2393682.997,2465256.153,2313708.565,2267144.586,1280722.531,2498756.321,685197.1186,684707.7549,1443814.135
"Unknown 22",327275.7557,263055.4393,458744.6284,135422.4922,89597.30603,5950.870644,31284.77371,6490.551471,22962.1348,113513.3734,23718.75333,27288.49795
"Unknown 23",334259.9359,362591.6977,444320.7943,294901.848,220331.5884,212557.6427,162895.3263,159891.9544,337431.9895,99877.73088,1826.509433,184388.7497
"Unknown 24",101491.2568,61142.51058,80427.12142,71676.7105,71901.65022,76070.66626,56510.62977,35365.18198,76098.69104,43562.48029,22211.92518,40228.37442
"Unknown 25",241722.2543,267397.6576,304498.9489,31830.7177,19919.52441,32137.42502,20256.57258,11070.04542,23313.12055,55676.50597,5842.325069,10785.02085
"Unknown 26",471975.5792,631470.1561,740356.0381,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unknown 27",525459.4118,828881.2226,991059.9864,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unknown 28",111603.8827,134960.0732,291141.5099,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unknown 29",710927.4996,918295.7001,1347942.208,175117.6852,390455.755,50890.56721,274088.5662,67137.09184,256844.4336,15733.71273,1410.052332,NA
